XMX,Throughput(%),Latency(Max GC pause time)(s),Application runtime,FULL GC,GC,RandomForest,KNeighbors,DecisionTree,MLP,Ensemble
5500,6.256694325572923,1.943307,88.097,89,170,96.15384615384616,76.12903225806451,95.48387096774194,34.193548387096776,95.48387096774194
5600,8.115294571649073,1.909065,69.966,72,181,99.01960784313727,69.5364238410596,95.36423841059603,23.841059602649008,92.71523178807946
5700,4.170490457168228,2.206122,135.18,123,194,95.2755905511811,74.73684210526315,93.6842105263158,38.421052631578945,86.8421052631579
5800,3.3397905511345414,1.973301,169.015,154,193,96.40287769784173,75.96153846153845,93.75,45.67307692307692,94.23076923076923
5900,7.285683346344669,2.021538,79.418,78,165,97.95918367346938,77.93103448275862,93.10344827586206,31.724137931034484,93.10344827586206
6000,5.215723917576028,2.074807,110.793,102,189,95.72649572649573,76.4367816091954,91.37931034482759,33.33333333333333,89.08045977011494
6100,4.3751181998167965,2.034655,135.364,123,216,95.58823529411765,81.77339901477832,93.59605911330048,34.48275862068966,92.61083743842364
6200,6.614479183718032,2.209086,91.635,85,197,97.34513274336283,72.7810650887574,92.89940828402366,33.13609467455622,91.71597633136095
6300,5.790872906027786,2.109205,104.765,97,193,94.82758620689656,76.4367816091954,93.67816091954023,30.45977011494253,93.10344827586206
6400,9.85600517109792,2.203789,64.203,65,189,95.09803921568627,70.39473684210526,94.07894736842105,22.36842105263158,92.76315789473685
6500,5.395392697662203,2.226019,114.21,101,210,96.0,69.89247311827957,94.6236559139785,30.107526881720432,94.6236559139785
6600,6.0753420041781965,2.272958,103.873,91,167,94.23076923076923,68.83116883116884,88.31168831168831,34.41558441558442,89.6103896103896
6700,10.223018195491193,2.248076,61.169,61,182,95.91836734693877,68.96551724137932,93.79310344827586,23.448275862068964,93.10344827586206
6800,3.452648028428328,2.295235,186.856,148,191,94.85294117647058,76.84729064039408,93.10344827586206,43.34975369458128,91.13300492610837
6900,4.242448914634906,2.413578,157.09,124,177,94.21487603305785,72.77777777777777,90.0,43.888888888888886,91.11111111111111
7000,3.226396242361858,2.381048,205.874,153,200,95.07042253521126,79.62085308056872,93.36492890995261,45.023696682464454,92.89099526066352
7100,4.557949453430069,2.413711,145.727,118,200,95.3125,72.63157894736842,92.63157894736842,34.21052631578947,91.57894736842105
7200,4.466526397843779,2.393476,151.376,122,192,96.03174603174604,73.40425531914893,94.14893617021278,39.8936170212766,94.68085106382979
7300,3.496699852976377,2.546522,196.567,140,197,96.29629629629629,77.72277227722772,92.07920792079209,41.089108910891085,93.06930693069307
7400,3.5105468630080168,2.496179,195.442,139,232,96.64429530201343,77.92792792792793,95.04504504504504,37.83783783783784,89.63963963963964
7500,3.756113032537911,2.577301,189.963,137,189,97.70992366412213,73.33333333333333,92.82051282051282,39.48717948717949,93.84615384615384
7600,3.2383548447480592,2.566316,219.031,157,191,95.0,79.32692307692307,92.3076923076923,46.63461538461539,87.98076923076923
7700,3.8848857857555146,2.596524,181.895,133,214,92.80575539568345,84.13461538461539,91.34615384615384,39.42307692307692,91.34615384615384
7800,3.084265364889532,2.634714,234.756,160,210,95.27027027027027,78.82882882882883,93.69369369369369,45.04504504504504,92.34234234234235
7900,5.94456666801473,2.698677,123.635,94,239,96.26865671641791,75.37688442211056,92.46231155778895,26.633165829145728,92.96482412060301
8000,6.471584462824225,2.823818,115.465,87,192,96.42857142857143,73.05389221556887,92.81437125748504,32.33532934131736,91.61676646706587
8100,3.3583337436384118,2.732615,223.411,154,209,92.46575342465754,78.80184331797236,92.16589861751152,46.54377880184332,92.16589861751152
8200,5.468770266536737,2.7695770000000004,137.542,99,173,96.3302752293578,71.77914110429448,92.63803680981594,36.19631901840491,91.41104294478528
8300,17.791348402182408,2.735219,42.339,46,223,97.22222222222221,72.04968944099379,90.6832298136646,16.149068322981368,91.92546583850931
8400,17.1220014582574,2.779754,43.888,46,232,98.21428571428571,71.6867469879518,93.37349397590361,19.879518072289155,92.16867469879519
8500,17.772854099857227,2.75987,42.721,46,246,95.72649572649573,73.14285714285714,89.14285714285714,18.857142857142858,88.57142857142857
