YoungGen (allocated space)(KB),YoungGen (Before GC)(KB),YoungGen (After GC)(KB),Old Gen(allocated space)(KB),Old Gen (Before GC)(KB),Old Gen(After GC)(KB),GC Pause Time(ms),User(s),Sys(s),Real Time(s),CPU Time(s),"GC/FULL-GC(1->GC,0->FULL-GC)"
46080,28704,28704,212480,184817,184817,13.371,0.0,0.0,0.01,0.0,1
211456,41120,0,4822016,4346016,4383827,1406.341,10.5,0.02,1.41,10.52,0
561152,189952,190464,11799040,10552854,10552854,130.992,0.66,0.0,0.13,0.66,1
644608,452800,171727,12083200,11786926,11798639,4529.805,31.91,0.08,4.53,31.99,0
151040,73888,37056,2253312,2142908,2180268,43.698,0.38,0.0,0.04,0.38,1
39424,19264,19264,153088,126890,126890,10.416,0.02,0.0,0.01,0.02,1
644608,237775,237775,12083200,12083180,12083180,3764.711,26.91,0.02,3.76,26.93,0
193024,131424,124384,3322368,3026495,3033671,65.758,0.33,0.0,0.07,0.33,1
405504,338176,256800,6991360,6450735,6532871,166.424,0.95,0.05,0.17,1.0,1
238592,201120,151936,5260800,4770610,4820218,103.961,0.73,0.02,0.1,0.75,1
644608,237775,237775,12083200,12082890,12082890,3728.146,27.11,0.0,3.73,27.11,0
1536,512,511,2048,500,455,2.768,0.0,0.0,0.0,0.0,0
254976,184672,130368,5260800,4874978,4929746,95.258,0.59,0.05,0.1,0.64,1
644608,237775,237775,12083200,12083021,12083021,3689.885,26.97,0.0,3.69,26.97,0
75264,65216,59392,765952,708661,714429,31.184,0.14,0.0,0.03,0.14,1
198144,118688,67744,4017152,3783692,3835044,67.353,0.28,0.11,0.07,0.39,1
644608,237775,237775,12083200,12082938,12082938,3682.646,26.86,0.0,3.68,26.86,0
218112,36352,36512,3658240,3311982,3311982,39.621,0.03,0.0,0.04,0.03,1
156160,137728,82336,2039296,1886814,1943006,74.27,0.45,0.05,0.08,0.5,1
79360,39390,22208,765952,691013,708661,44.063,0.23,0.02,0.04,0.25,1
399872,207168,103776,7776256,7377651,7482011,130.976,0.55,0.03,0.13,0.5800000000000001,1
219136,76992,40640,3658240,3348654,3385334,56.081,0.14,0.0,0.06,0.14,1
51200,29122,12416,286720,247507,264627,23.662,0.08,0.02,0.02,0.1,1
47104,9184,0,212480,167817,176625,58.383,0.23,0.0,0.06,0.23,0
33280,16368,11808,100352,77671,82327,14.925,0.0,0.0,0.02,0.0,1
307200,201984,157024,5750784,5389088,5434472,111.838,0.7,0.05,0.11,0.75,1
186880,87232,87296,3023360,2947071,2947071,59.416,0.17,0.0,0.06,0.17,1
644608,237775,237775,12083200,12083011,12083011,3741.841,26.92,0.02,3.74,26.94,0
26624,20434,11296,57856,40937,50225,15.889,0.0,0.0,0.02,0.0,1
644608,237775,237775,12083200,12082793,12082793,3958.174,27.73,0.0,3.96,27.73,0
123392,80640,2175,4408320,3941452,4016872,1306.275,9.47,0.03,1.31,9.5,0
258560,50400,0,5750784,5155962,5202448,1612.932,12.16,0.12,1.61,12.28,0
424448,169248,84768,7776256,7019115,7104371,113.371,0.47,0.0,0.11,0.47,1
126464,68256,47264,1862144,1727029,1748341,37.802,0.25,0.03,0.04,0.28,1
644608,237775,237775,12083200,12082929,12082929,3771.681,26.94,0.0,3.77,26.94,0
83968,61316,61600,1543680,1403908,1403908,87.925,0.52,0.0,0.09,0.52,1
50688,24704,12448,286720,264627,277075,13.452,0.02,0.0,0.01,0.02,1
121856,94304,92672,1404416,1287477,1289101,54.388,0.27,0.0,0.05,0.27,1
96768,88064,71168,1272832,1157022,1174030,46.27,0.27,0.0,0.05,0.27,1
3584,1504,1501,4096,1572,1538,4.315,0.0,0.0,0.0,0.0,0
644608,237775,237774,12083200,12082769,12082769,4332.763,27.62,0.0,4.33,27.62,0
51712,16887,14496,331776,286304,288920,21.076,0.12,0.0,0.02,0.12,1
404992,231744,121696,8603136,8202616,8313704,140.204,0.72,0.06,0.14,0.78,1
8192,2400,2372,12288,7304,7232,8.632,0.0,0.0,0.01,0.0,0
137728,31840,16000,1708032,1657527,1673599,25.514,0.03,0.0,0.03,0.03,1
39424,11223,10048,153088,125650,126890,15.507,0.0,0.0,0.02,0.0,1
644608,237775,237775,12083200,12083064,12083064,3779.436,26.92,0.0,3.78,26.92,0
644608,237775,237775,12083200,12083083,12083083,3702.748,26.72,0.02,3.7,26.74,0
210432,81088,40640,3658240,3385334,3426142,55.723,0.16,0.02,0.05,0.18,1
335360,198976,199168,6991360,6318647,6318647,123.149,0.41,0.0,0.12,0.41,1
644608,237775,237775,12083200,12082958,12082958,3842.816,26.53,0.02,3.84,26.55,0
644608,237775,237775,12083200,12082818,12082818,3709.686,27.14,0.02,3.71,27.16,0
110592,156992,73440,4408320,4109488,4193648,82.458,0.48,0.03,0.08,0.51,1
201216,158176,144160,3322368,3033671,3047831,77.064,0.31,0.02,0.08,0.33,1
218112,31936,0,3658240,3282839,3311982,1075.569,7.58,0.03,1.08,7.61,0
398336,115040,33918,8603136,7702075,7776208,2603.274,18.77,0.05,2.6,18.82,0
644608,237775,237775,12083200,12083054,12083054,4427.852,26.81,0.08,4.43,26.89,0
231424,49152,49344,5260800,4770610,4770610,47.772,0.16,0.0,0.05,0.16,1
644608,237775,237775,12083200,12083185,12083185,3739.134,26.98,0.05,3.74,27.03,0
644608,237775,237775,12083200,12083059,12083059,3870.608,27.36,0.02,3.87,27.38,0
380928,134144,134560,9492480,8551315,8551315,110.137,0.47,0.0,0.11,0.47,1
306688,177440,61664,5750784,5537784,5654552,101.201,0.58,0.08,0.1,0.6599999999999999,1
174592,132864,132960,3023360,2947071,2947071,71.848,0.3,0.03,0.07,0.3299999999999999,1
131584,65696,44704,1862144,1705765,1727029,38.492,0.16,0.0,0.04,0.16,1
39424,39744,34304,153088,126890,132330,21.271,0.05,0.02,0.02,0.07,1
90624,85696,45248,3658240,3426142,3466950,54.434,0.2,0.0,0.06,0.2,1
146944,80096,80128,2738688,2490459,2490459,45.614,0.25,0.0,0.05,0.25,1
520192,484352,176640,9492480,9170963,9481355,292.166,1.61,0.31,0.29,1.92,1
258560,144704,50400,5260800,5060930,5155962,80.793,0.44,0.08,0.08,0.52,1
86016,46528,33920,848384,792756,805564,24.216,0.11,0.02,0.02,0.13,1
49664,37408,30240,212480,191049,198305,17.182,0.06,0.02,0.02,0.08,1
1024,991,512,512,8,88,0.819,0.0,0.0,0.0,0.0,1
20992,13408,13376,212480,184817,184817,6.94,0.02,0.0,0.01,0.02,1
71680,38816,28800,493568,458957,469181,20.032,0.12,0.0,0.02,0.12,1
200192,93536,93536,3322368,3026495,3026495,56.478,0.09,0.0,0.06,0.09,1
34304,27168,27104,100352,82327,82359,11.824,0.0,0.0,0.01,0.0,1
245760,182080,182176,5750784,5202448,5202448,93.902,0.62,0.02,0.09,0.64,1
75776,55968,49280,621056,571141,577949,27.726,0.14,0.0,0.03,0.14,1
644608,237775,237775,12083200,12082827,12082827,3825.882,27.39,0.02,3.83,27.41,0
47104,36896,30752,212480,184817,191049,17.145,0.08,0.0,0.02,0.08,1
644608,237775,237775,12083200,12082856,12082856,3719.725,27.12,0.0,3.72,27.12,0
266240,230304,218112,5750784,5202448,5214704,118.806,0.75,0.0,0.12,0.75,1
206848,46080,46240,4822016,4383827,4383827,43.5,0.08,0.0,0.04,0.08,1
8192,7296,2400,7680,4608,7304,3.982,0.0,0.0,0.0,0.0,1
557568,328640,172512,10653184,10231593,10389177,207.683,1.31,0.05,0.21,1.36,1
75264,33944,26304,621056,554365,562293,39.605,0.23,0.02,0.04,0.25,1
317440,221056,151936,6338560,5973749,6043501,145.525,0.44,0.08,0.15,0.52,1
134144,87232,60608,1862144,1823061,1850045,44.52,0.2,0.06,0.04,0.26,1
644608,237775,237775,12083200,12082774,12082774,3735.38,27.12,0.0,3.74,27.12,0
644608,237775,237775,12083200,12083199,12083199,3719.774,26.72,0.0,3.72,26.72,0
121344,65120,65120,1404416,1287477,1287477,37.049,0.17,0.0,0.04,0.17,1
437760,306048,278016,9492480,8833987,8862467,172.053,1.14,0.02,0.17,1.16,1
644608,237775,237775,12083200,12083151,12083151,4291.178,26.97,0.05,4.29,27.02,0
561152,508416,154048,11799040,10578902,10936206,311.988,1.98,0.25,0.31,2.23,1
199680,147680,147808,4822016,4383827,4383827,75.665,0.41,0.0,0.08,0.41,1
49664,30240,11689,247808,198305,212362,97.866,0.33,0.0,0.1,0.33,0
644608,237775,237775,12083200,12082943,12082943,3763.808,26.98,0.0,3.76,26.98,0
45568,20544,20512,212480,184817,184817,9.709,0.02,0.0,0.01,0.02,1
154624,51360,35808,2253312,2026254,2039188,656.782,4.89,0.0,0.66,4.89,0
148992,48671,43232,2738688,2484699,2490459,134.217,0.88,0.0,0.13,0.88,1
644608,237775,237775,12083200,12083199,12083198,5892.626,43.2,0.02,5.89,43.220000000000006,0
139264,84704,58560,2484736,2413765,2440109,48.999,0.25,0.02,0.05,0.27,1
126464,89184,89280,2039296,1885158,1885158,48.901,0.27,0.0,0.05,0.27,1
50176,31264,24608,247808,224274,231018,16.369,0.02,0.0,0.02,0.02,1
47104,6144,6240,212480,184817,184817,9.444,0.02,0.0,0.01,0.02,1
644608,237775,237775,12083200,12082851,12082851,3715.928,27.28,0.0,3.72,27.28,0
206848,167232,120128,4408320,4061976,4109488,86.004,0.53,0.02,0.09,0.55,1
235520,103616,103712,5260800,4770610,4770610,65.188,0.28,0.0,0.07,0.28,1
14848,13398,5088,28160,18497,22937,8.276,0.0,0.0,0.01,0.0,1
564224,492032,156640,10653184,9735729,10073993,319.975,2.0,0.09,0.32,2.09,1
126976,42176,42144,1862144,1705765,1705765,29.381,0.05,0.0,0.03,0.05,1
330240,255872,172512,6338560,6196437,6280645,160.975,0.53,0.02,0.16,0.55,1
150016,117504,112640,2738688,2490459,2495259,61.974,0.38,0.0,0.06,0.38,1
644608,237775,237775,12083200,12083050,12083050,3759.541,27.06,0.0,3.76,27.06,0
229888,218464,115040,7776256,7482011,7586371,135.856,0.5,0.08,0.14,0.58,1
644608,237775,237775,12083200,12082847,12082847,3776.6,27.39,0.0,3.78,27.39,0
258560,174400,131360,5260800,4929746,4973138,92.583,0.72,0.03,0.09,0.75,1
484352,336320,308224,9492480,9142435,9170963,183.151,1.25,0.0,0.18,1.25,1
160256,28800,10368,1708032,1566183,1584839,26.234,0.02,0.0,0.03,0.02,1
112640,94464,72704,1272832,1200382,1222462,50.145,0.28,0.0,0.05,0.28,1
24064,22176,11904,1708032,1595223,1605599,22.373,0.03,0.0,0.02,0.03,1
644608,237775,237775,12083200,12082924,12082924,3955.241,27.45,0.0,3.95,27.45,0
79872,43712,43712,765952,708661,708661,23.756,0.02,0.0,0.02,0.02,1
644608,237775,237775,12083200,12082987,12082987,3761.637,26.95,0.02,3.76,26.97,0
76288,41824,23192,621056,536611,554365,182.001,1.23,0.05,0.18,1.28,0
644608,237775,237775,12083200,12082784,12082784,3774.931,27.33,0.02,3.77,27.35,0
217088,72864,36544,3658240,3311982,3348654,56.148,0.16,0.0,0.06,0.16,1
92160,51684,39424,1148928,1041112,1053744,69.729,0.41,0.0,0.07,0.41,1
644608,237775,237775,12083200,12083199,12083196,5878.05,42.72,0.06,5.88,42.78,0
13824,4224,4182,28160,18615,18497,19.64,0.02,0.0,0.02,0.02,0
143360,58560,11807,2738688,2440109,2484699,792.737,6.02,0.0,0.79,6.02,0
60928,52864,47104,383488,354407,360135,24.192,0.12,0.0,0.02,0.12,1
88064,52864,35968,848384,805564,822684,27.112,0.12,0.0,0.03,0.12,1
306688,61664,0,6338560,5654552,5711605,1825.432,13.44,0.05,1.83,13.49,0
644608,237775,237775,12083200,12082871,12082871,3812.89,27.28,0.0,3.81,27.28,0
88064,70848,51840,765952,735117,754413,33.315,0.25,0.0,0.03,0.25,1
155136,78944,36960,1543680,1488308,1530780,39.84,0.23,0.02,0.04,0.25,1
349696,293888,254976,6991360,6318647,6357887,147.245,0.66,0.02,0.15,0.68,1
159744,69088,33408,2253312,2039188,2075468,124.791,0.77,0.0,0.13,0.77,1
644608,237775,237775,12083200,12083170,12083170,3835.809,26.97,0.02,3.84,26.99,0
644608,237775,237775,12083200,12083199,12083199,3688.997,27.0,0.0,3.69,27.0,0
69632,40928,29492,437760,380495,383028,168.095,1.02,0.02,0.17,1.04,0
119808,65120,36749,1404416,1246126,1272749,650.377,4.58,0.0,0.65,4.58,0
125440,99936,39300,1543680,1376957,1403908,581.615,3.97,0.03,0.58,4.0,0
26624,28160,18432,77824,57773,67605,20.409,0.0,0.03,0.02,0.03,1
69632,60928,40928,383488,360135,380495,29.03,0.09,0.02,0.03,0.11,1
56832,39008,39040,383488,354407,354407,18.995,0.11,0.03,0.02,0.14,1
80384,36814,24512,691200,620978,633642,42.98,0.17,0.08,0.04,0.25,1
561152,172512,0,11799040,10389177,10552854,3604.538,25.83,0.17,3.61,26.0,0
75264,50912,42144,621056,562293,571141,25.096,0.14,0.0,0.02,0.14,1
644608,237775,237775,12083200,12083001,12083001,4136.157,27.23,0.0,4.14,27.23,0
644608,237775,237775,12083200,12083195,12083195,3731.246,26.91,0.02,3.73,26.93,0
5120,3549,2016,4096,1538,2082,2.104,0.0,0.0,0.0,0.0,1
233472,152832,114944,4822016,4532619,4570835,78.73,0.47,0.03,0.08,0.5,1
175616,129248,65728,2738688,2646499,2710539,73.722,0.48,0.03,0.07,0.51,1
189952,44671,42688,4408320,4016872,4019104,195.152,1.25,0.0,0.19,1.25,1
160768,150016,109088,2738688,2495259,2536707,81.329,0.52,0.02,0.08,0.54,1
208896,82080,41120,4408320,4304688,4346016,64.414,0.22,0.02,0.06,0.24,1
644608,237775,237775,12083200,12082880,12082880,3671.119,26.75,0.0,3.67,26.75,0
186880,109824,76032,4017152,3869124,3903212,66.434,0.27,0.03,0.07,0.3,1
50688,18345,11808,247808,212362,219090,19.176,0.06,0.0,0.02,0.06,1
644608,237775,237775,12083200,12082909,12082909,4214.275,27.27,0.05,4.21,27.32,0
24064,19488,16320,247808,219090,222322,10.78,0.02,0.0,0.01,0.02,1
412672,370688,110432,8603136,7829096,8091536,200.022,1.44,0.08,0.2,1.52,1
310784,145152,145280,6338560,5973749,5973749,125.564,0.25,0.0,0.12,0.25,1
38912,45495,24480,493568,437557,458957,37.5,0.25,0.02,0.04,0.27,1
644608,237775,237775,12083200,12082789,12082789,4086.134,27.72,0.0,4.09,27.72,0
94208,46816,36960,1041408,956930,966882,25.569,0.12,0.0,0.03,0.12,1
208384,177952,143648,3322368,3047831,3082455,85.906,0.38,0.06,0.09,0.44,1
177664,137056,101120,2738688,2572547,2608787,71.404,0.44,0.03,0.07,0.47,1
644608,237775,237775,12083200,12082832,12082832,3806.578,27.33,0.02,3.81,27.35,0
89600,138752,63168,2484736,2273909,2350189,75.926,0.42,0.08,0.08,0.5,1
203264,90304,45248,3658240,3466950,3512414,56.437,0.16,0.05,0.06,0.21,1
38400,13312,2007,153088,114653,125650,54.621,0.11,0.0,0.05,0.11,0
135168,79323,56416,2039296,1861718,1885158,117.439,0.77,0.02,0.12,0.79,1
644608,237775,237775,12083200,12083040,12083040,4367.166,27.23,0.0,4.37,27.23,0
70656,45728,37632,437760,394788,402988,21.462,0.11,0.02,0.02,0.13,1
71680,51968,42080,437760,402988,412964,23.95,0.14,0.0,0.02,0.14,1
644608,237775,237775,12083200,12083199,12083199,3752.022,26.88,0.02,3.75,26.9,0
31744,20000,20000,100352,82327,82327,9.71,0.0,0.0,0.01,0.0,1
94208,69088,48256,939008,898439,919551,34.495,0.25,0.0,0.03,0.25,1
644608,237775,237775,12083200,12083127,12083127,3792.44,26.8,0.02,3.79,26.82,0
159744,27936,18560,1708032,1556639,1566183,24.008,0.03,0.0,0.02,0.03,1
419328,337184,256096,6991360,6532871,6614695,164.866,1.0,0.14,0.16,1.14,1
644608,237775,237775,12083200,12082977,12082977,4014.973,27.09,0.03,4.02,27.12,0
10752,6471,2112,12288,7232,9656,3.971,0.0,0.0,0.0,0.0,1
73216,42624,31159,493568,426980,437557,153.464,1.03,0.0,0.15,1.03,0
258048,56832,57056,5750784,5202448,5202448,47.833,0.16,0.0,0.05,0.16,1
1024,512,480,512,0,8,1.223,0.0,0.0,0.0,0.0,1
13824,11651,4224,18944,15119,18615,6.268,0.0,0.0,0.01,0.0,1
306176,69120,69376,6338560,5973749,5973749,215.666,0.98,0.0,0.22,0.98,1
644608,237775,237775,12083200,12082813,12082813,3797.54,27.38,0.02,3.8,27.4,0
381440,349696,257792,6991360,6357887,6450735,165.458,1.23,0.09,0.16,1.32,1
345600,99328,99648,6991360,6318647,6318647,89.611,0.19,0.0,0.09,0.19,1
73216,56416,42624,437760,412964,426980,26.978,0.12,0.0,0.03,0.12,1
47616,30880,20439,554496,483733,493243,174.568,0.98,0.05,0.17,1.03,0
644608,237775,237775,12083200,12083161,12083161,3948.894,26.98,0.0,3.95,26.98,0
