Throughput(%),Latency(Max GC pause time)(s),Application runtime(s),FULL GC,GC,XMX
3.8848857857555146,2.596524,181.895,133,214,7700
3.084265364889532,2.634714,234.756,160,210,7800
5.94456666801473,2.698677,123.635,94,239,7900
6.471584462824225,2.823818,115.465,87,192,8000
3.3583337436384113,2.7326149999999996,223.411,154,209,8100
5.468770266536737,2.7695770000000004,137.542,99,173,8200
17.791348402182408,2.735219,42.339,46,223,8300
17.1220014582574,2.779754,43.888,46,232,8400
17.772854099857227,2.75987,42.721,46,246,8500
3.8007570510515905,2.904172,228.122,143,219,8600
3.3898554019118166,2.945326,259.547,158,233,8700
10.539786217716056,3.0222979999999997,85.414,65,215,8800
9.77347167448454,3.004504,91.031,69,234,8900
3.4053551427862203,3.0526060000000004,266.062,158,217,9000
6.831407842845437,3.146087,134.390,84,184,9100
4.095991828313686,4.241576,247.195,135,225,9200
13.493987003536219,9.866344,351.788,128,299,9300
20.176755994668966,7.404794,272.367,94,360,9400
8.156753318956817,3.1979960000000003,118.712,79,216,9500
3.4864483304944685,3.232431,268.882,153,229,9600
4.169851973972712,3.276191,228.068,130,201,9700
5.631933739726691,4.16234,179.957,103,232,9800
7.72464001753967,4.316479,310.154,138,237,9900
4.277357267932615,8.689017,476.855,155,247,10000
6.80087927206354,3.4161289999999997,146.826,89,204,10100
4.245351051620389,3.4475830000000003,237.871,130,250,10200
6.301929025712099,3.5415210000000004,161.636,95,237,10300
5.672315563735822,3.5081840000000004,177.663,103,247,10400
12.13670963349064,3.647864,85.182,62,237,10500
7.400853093544896,3.572842,138.789,85,215,10600
7.438942220084115,3.617035,137.193,83,224,10700
4.055933270496766,3.692153,271.604,139,229,10800
4.163636292844004,3.7128490000000003,256.833,132,255,10900
4.290115093036505,3.7133649999999996,250.493,128,255,11000
5.4376980506223305,3.7343640000000002,198.371,104,247,11100
6.0939437228190485,4.06327,173.605,95,232,11200
3.5091613372185293,3.804068,313.666,151,253,11300
3.467987932860069,3.877769,319.214,152,235,11400
4.870228115832077,3.947698,229.401,114,213,11500
3.6249094651962395,3.919221,304.579,146,229,11600
3.3721327355671917,3.9478400000000002,330.341,159,279,11700
10.74008657002588,4.006409,103.269,65,254,11800
3.455219377874613,4.2318109999999995,330.480,149,260,11900
7.884227706743303,4.078281,151.335,84,272,12000
5.917066344921523,4.140386,199.744,100,221,12100
11.81602450493277,4.142044,97.613,62,265,12200
4.845424856942486,4.119661,240.987,116,273,12300
5.444857598894075,4.196896,219.907,107,247,12400
6.527748702552245,4.317109,182.859,94,317,12500
8.333350164609897,4.290989,148.533,80,232,12600
11.399848963465757,4.2207870000000005,108.583,66,249,12700
3.9961345882890953,4.235681,297.381,140,216,12800
9.72749717301167,4.3089319999999995,122.038,72,254,12900
3.8402526100281023,4.297566,314.556,145,270,13000
7.597188308345466,4.379921,157.343,83,229,13100
5.718165156781197,4.401756000000001,210.612,106,269,13200
8.319922788394948,4.431959,145.833,78,235,13300
4.563214622321496,4.479430000000001,272.679,128,282,13400
11.542829036509119,4.528218,107.754,64,247,13500
3.503592704220978,4.690994,353.355,153,228,13600
4.398824245586624,4.531241,287.475,132,286,13700
2.491137356561481,21.531693,551.630,134,280,13800
33.32487907393045,40.824334,635.719,82,718,13900
8.592728149115302,39.449932000000004,854.748,152,423,14000
23.23257669401056,71.95739,1032.284,135,871,14100
8.968192181388446,4.743417999999999,143.427,75,249,14200
4.571484839628326,4.7783869999999995,294.254,122,288,14300
7.9477140990367445,4.768775,166.827,83,267,14400
3.905245309802737,4.960403,342.363,138,246,14500
5.664815980135401,4.931693,235.192,103,214,14600
7.982915524963545,4.838838,166.783,82,272,14700
3.316767890476072,4.873158999999999,405.537,160,231,14800
3.6942849214388644,4.925322,371.176,148,262,14900
3.7608336242445546,5.149104,366.664,144,265,15000
4.17056985149803,5.080106,331.174,132,266,15100
