XMX,Throughput(%),Latency(Max GC pause time)(s),Application runtime,FULL GC,GC,RandomForest,KNeighbors,DecisionTree,MLP,Ensemble
3400,10.05988037217547,3.656357,40.626,33,14,70.0,67.85714285714286,85.71428571428571,64.28571428571429,82.14285714285714
3500,10.802118391926314,3.70217,42.013,33,14,75.0,67.85714285714286,89.28571428571429,64.28571428571429,71.42857142857143
3600,10.7277773488767,3.507222,38.859,32,14,52.63157894736842,64.28571428571429,82.14285714285714,64.28571428571429,78.57142857142857
3700,10.615990359435472,3.5676460000000003,43.151,33,14,75.0,67.85714285714286,85.71428571428571,64.28571428571429,82.14285714285714
3800,11.685424717462638,3.863736,41.145,32,14,63.1578947368421,64.28571428571429,85.71428571428571,64.28571428571429,82.14285714285714
3900,11.3344508120597,3.786935,44.147,33,14,90.0,67.85714285714286,89.28571428571429,64.28571428571429,85.71428571428571
4000,12.764291090412996,3.857476,42.516,32,14,73.68421052631578,64.28571428571429,85.71428571428571,64.28571428571429,82.14285714285714
4100,11.786142620374974,4.00661,46.459,33,14,75.0,67.85714285714286,89.28571428571429,64.28571428571429,85.71428571428571
4200,13.438457897583843,4.081311,44.368,32,14,78.94736842105263,64.28571428571429,85.71428571428571,64.28571428571429,82.14285714285714
4300,13.335990693386576,4.231803,45.559,32,14,63.1578947368421,64.28571428571429,85.71428571428571,64.28571428571429,82.14285714285714
4400,10.23315873145279,4.210465,49.064,33,14,80.0,67.85714285714286,89.28571428571429,64.28571428571429,85.71428571428571
4500,10.835293993810666,4.421105,47.501,32,14,68.42105263157895,64.28571428571429,85.71428571428571,64.28571428571429,71.42857142857143
4600,10.767070268032713,4.543024999999999,48.315,32,14,78.94736842105263,64.28571428571429,85.71428571428571,64.28571428571429,82.14285714285714
4700,10.814836188393471,4.688144,49.386,32,14,78.94736842105263,64.28571428571429,85.71428571428571,64.28571428571429,71.42857142857143
4800,10.64304747681183,4.813933,50.888,32,14,57.89473684210527,64.28571428571429,82.14285714285714,64.28571428571429,71.42857142857143
4900,10.076721485605448,4.7958,54.604,34,14,75.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
5000,10.40066291945996,4.843748,53.551,34,14,95.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
5100,10.365316271894002,4.933912,55.095,34,14,85.0,75.86206896551724,75.86206896551724,75.86206896551724,79.3103448275862
5200,10.478860615678729,5.014533,55.451,34,14,100.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
5300,10.64377357825336,5.351723,56.726,34,14,75.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
5400,10.62319042558748,5.230345000000001,57.403,34,14,90.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
5500,10.471336800771551,5.502632999999999,58.064,34,14,90.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
5600,10.573032868948433,5.457276,58.931,34,14,85.0,75.86206896551724,93.10344827586206,75.86206896551724,89.65517241379311
5700,10.639828618382438,5.485825,59.633,34,14,85.0,75.86206896551724,93.10344827586206,75.86206896551724,89.65517241379311
5800,10.74259008934753,5.692069999999999,60.662,34,14,80.0,75.86206896551724,93.10344827586206,75.86206896551724,93.10344827586206
5900,18.915219196772867,5.813115,33.714,28,14,66.66666666666666,64.0,84.0,64.0,80.0
6000,18.92280243422671,5.693876,32.536,28,14,61.111111111111114,64.0,52.0,64.0,68.0
6100,18.155208395444504,6.1033800000000005,33.542,28,14,72.22222222222221,64.0,52.0,64.0,68.0
6200,17.996119291598504,5.899268,34.839,28,14,72.22222222222221,64.0,56.00000000000001,64.0,68.0
6300,9.47917003814588,6.0711580000000005,77.859,36,14,61.904761904761905,66.66666666666666,86.66666666666667,66.66666666666666,73.33333333333333
6400,10.88842052096112,6.147031,69.295,34,14,95.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
6500,11.141764364480563,6.192758,68.92,34,14,100.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
6600,10.93646764693419,6.385745,70.797,34,14,90.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
6700,11.773800227876947,6.497434,65.825,33,15,90.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
6800,11.099485687787164,6.464676000000001,71.163,34,14,75.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
6900,11.067366857049391,6.71141,73.361,34,14,85.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
7000,10.302419987349792,8.192636,79.05,34,14,85.0,75.86206896551724,93.10344827586206,75.86206896551724,89.65517241379311
7100,11.057836728788814,6.824215000000001,76.033,34,14,85.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
7200,11.306929240943449,6.867675,75.001,34,14,85.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
7300,11.151881577064673,7.003187,76.877,34,14,80.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
7400,11.154118334740543,7.0613850000000005,76.985,34,14,95.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
7500,10.76814949793568,7.14554,78.476,34,15,80.0,70.0,86.66666666666667,70.0,76.66666666666667
7600,11.358576703144353,7.299295,75.023,33,15,85.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
7700,11.92118723165953,7.425072,80.355,34,15,85.0,70.0,90.0,70.0,86.66666666666667
7800,11.488982153363397,7.465434,76.485,33,15,90.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
7900,11.970232174607672,7.735016,77.614,33,15,95.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
8000,11.148044540674292,7.907020999999999,80.825,33,15,90.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
8100,11.753062030314624,7.349622,78.51,33,15,85.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
8200,10.558658839467157,7.847417,93.009,35,15,66.66666666666666,66.66666666666666,86.66666666666667,66.66666666666666,83.33333333333334
8300,11.06865361419834,7.974098,92.856,35,15,66.66666666666666,66.66666666666666,86.66666666666667,66.66666666666666,83.33333333333334
8400,12.522581085440606,7.950705,80.594,33,15,80.0,75.86206896551724,93.10344827586206,75.86206896551724,89.65517241379311
8500,13.87093390075836,7.950226,80.833,33,15,90.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
8600,13.166591077210384,8.124535,82.463,33,15,90.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
8700,11.292403228933878,8.390259,97.989,35,15,71.42857142857143,66.66666666666666,86.66666666666667,66.66666666666666,83.33333333333334
8800,13.47319271310981,8.270418,88.323,34,15,85.0,70.0,86.66666666666667,70.0,76.66666666666667
8900,13.152088154910729,8.701102,85.985,33,15,75.0,75.86206896551724,93.10344827586206,75.86206896551724,89.65517241379311
9000,13.224853742892307,8.267383,85.295,33,15,85.0,75.86206896551724,96.55172413793103,75.86206896551724,93.10344827586206
