Throughput(%),Latency(Max GC pause time)(s),Application runtime(s),FULL GC,GC,XMX
11.099485687787165,6.464676000000001,71.163,34,14,6800
11.067366857049393,6.71141,73.361,34,14,6900
10.302419987349793,8.192636,79.050,34,14,7000
11.057836728788814,6.824215000000001,76.033,34,14,7100
11.306929240943447,6.867675,75.001,34,14,7200
11.151881577064671,7.003187,76.877,34,14,7300
11.154118334740545,7.0613850000000005,76.985,34,14,7400
10.768149497935681,7.14554,78.476,34,15,7500
11.358576703144351,7.299295,75.023,33,15,7600
11.92118723165953,7.425072,80.355,34,15,7700
11.488982153363395,7.465434,76.485,33,15,7800
11.970232174607673,7.735016,77.614,33,15,7900
11.148044540674292,7.907020999999999,80.825,33,15,8000
11.753062030314624,7.349622,78.510,33,15,8100
10.558658839467157,7.847417,93.009,35,15,8200
11.06865361419834,7.974098,92.856,35,15,8300
12.522581085440606,7.950705,80.594,33,15,8400
13.87093390075836,7.950226,80.833,33,15,8500
13.166591077210384,8.124535,82.463,33,15,8600
11.292403228933878,8.390259,97.989,35,15,8700
13.47319271310981,8.270418,88.323,34,15,8800
13.152088154910729,8.701102,85.985,33,15,8900
13.224853742892307,8.267383,85.295,33,15,9000
13.911952790708597,8.554548,85.068,33,15,9100
12.095120125229698,8.950220999999999,102.851,35,15,9200
14.085518638293948,8.632997,86.891,33,15,9300
12.886819649341021,9.242558,109.337,35,15,9400
14.525169566499557,8.8209,88.166,33,15,9500
14.228576702352584,8.426881,89.391,33,15,9600
14.665762670402728,8.606736999999999,89.934,33,15,9700
10.812021665246476,9.578524,102.099,34,15,9800
10.745482799061747,9.619879999999998,102.320,34,15,9900
11.106024845947232,9.705546,101.264,34,15,10000
10.90580354564878,9.794768,103.902,34,15,10100
10.827576837031543,9.899582,104.149,34,15,10200
10.962105052659638,10.017177,105.014,34,15,10300
10.81176014498169,10.191832,107.048,34,15,10400
10.802549837737601,10.241365,107.850,34,15,10500
10.784347070955604,10.523206,110.548,34,15,10600
11.019372023644081,10.353114,107.934,34,15,10700
10.896168320530677,10.461704,109.743,34,15,10800
11.067912409282968,12.860967,111.473,34,15,10900
11.506106870229019,10.884938,114.232,34,15,11000
9.692186407223815,10.747603999999999,128.686,37,15,11100
10.062433752799322,13.100665000000001,125.477,35,15,11200
8.983487143691306,17.589434,148.993,37,15,11300
9.643044591423092,10.96576,131.236,37,15,11400
9.49860401159836,11.198642,133.812,37,15,11500
9.685638067341173,11.363359,133.826,37,15,11600
8.966889794924839,11.496125,147.897,38,15,11700
14.799183794782678,11.349238,87.478,32,15,11800
17.66654176644596,11.633632,70.990,30,15,11900
18.28488941141893,11.700964,68.045,30,15,12000
17.91397211040828,11.461929,69.560,30,15,12100
17.769480672071438,11.463004999999999,68.088,30,15,12200
17.474497744977455,11.516748,68.292,30,15,12300
17.17375996296886,11.566216,69.131,30,15,12400
18.101376778338675,11.599969999999999,67.549,30,15,12500
17.915773920570714,11.66529,67.003,30,15,12600
